original_text,sarcasm_score,performance_sentiment,price_sentiment,quality_sentiment,features_sentiment
"Bought the OFFO Metal Zip Ties Cutter for Stainless Steel Tie Wrap, to use with metal zip ties and having the lever on the side for cutting the ties was a big plus for me.  The tool works flawlessly, but the operator could use some more skill.  I purchased some metal ties first, thinking one of my nylon tie tools would at least tension the tie and I have side cutters to trim them.  Wrong.  The metal ties are way too skinny for my existing tools to grip them. I am still experimenting with tension on the metal ties with help from utube, but the tool works and trims as it should, seems an excellent value and a well made tool.",0.4509795606136322,0.5,0.5,0.0,0.0
I like this you can cut to design length of your needs,0.4479942321777344,0.0,0.0,0.0,0.0
Like the battery and ease of use,0.44818633794784546,0.0,0.0,0.0,0.0
These apple I-pods sync'd up to my phone with no problem and continue to perform.,0.4439731240272522,0.0,0.0,0.0,0.0
Not a lot to say.  Working power supply,0.4480888247489929,1.0,0.0,0.0,0.0
"I don't like to give bad reviews but this one is just way too bad I felt the other buyers on Amazon should know so they can purchase a different drive.<br />To start with, I never had a flash drive get as hot as this one and I have many other drives both old and new and different capacities some plastic some metal.  I fear the heat will kill it sooner than any other drive. The reason it gets so hot is because the components inside are being clocked at a speed that is too high, much higher than they were designed to handle.  They are being overclocked.  What is strange is that even so, this drive is actually very slow compared to other drives that are said to have a speed over 100MB per second.  For very large files the top speed was 35MB per second and I could live with that,  but for a group of small files the speed drops to a mere 2MB per second. Yes, that is a 2 not  20.  So if you transfer a 200 MB file it might take 10 seconds, but if you transfer 1000 200k files it would take 100 seconds if you are lucky, and that's still a total of 200MB.  This means it may work for you if you only use it for large files unless it burns itself out due to the intense self heating. You also don't want to touch it right away let it cool before pulling it out of the USB connector, and while you are waiting search for a better drive on Amazon.<br />Note:<br />I use Crystal Disk Mark for speed test results but also do manually timed file copy and paste operations to back those results up with real world usage results.<br />Also note I have other SanDisk drives that work reasonably well.",0.44897469878196716,-0.5,0.0,0.0,0.0
Love the Product easy to apply and remove,0.44684556126594543,0.0,0.0,0.0,0.0
Product quality is good value. Works fine with my iPad. Before I had the Logitech cover with keypad. I never really used the keypad and the iPad continually would slip out. That doesn’t happen with this product. Pleased so far.,0.44365519285202026,0.5,0.5,0.5,0.0
First off it’s very easy to install and use<br />Picture quality is very visible and clear<br />The craftsmanship is well built<br />Price is very affordable and money well spent<br />5*****,0.4459468424320221,0.0,1.0,1.0,0.0
"The application for a device like this is limited to older vehicles, pre-carplay. That said it has the potential to be a great addition however this unit requires frequent restarts to reset the screen as it freezes or has significant color shift.  When it works its awesome, the rest of the time it takes some fiddling and can be annoying.",0.4457609951496124,0.0,0.0,0.0,0.0
The price was good but it didn't work and it wasn't worth me sending it back.,0.4433651864528656,0.0,-0.5,0.0,0.0
Works perfectly. You will need a meter or wiring schematic to get the polarity correct. That’s the hardest part.,0.4501563608646393,1.0,0.0,0.0,0.0
This pump would cool a car.awesome.,0.44274282455444336,0.0,0.0,0.0,0.0
Arrived damaged twice and the quality wasn’t very good .,0.44493404030799866,0.0,0.0,-1.0,0.0
"Great durability,  straps are comfortable on shoulders",0.4477364420890808,0.0,0.0,1.0,0.0
I got these tablets for my six year old and I’m very happy even with the presentation. It looks great and it works awesome. It has a 64 GB room dual camera. Easy to connect to Wi-Fi and very cool games like Montessori first learning brain training. Mini games. STEM  and many more. The recommended age is 3 to 14 year old so far I’m happy with this purchase and I definitely recommend a 21 my kids love it.,0.44635698199272156,1.0,0.0,0.0,0.0
👍👍,0.4470269978046417,0.0,0.0,0.0,0.0
"This is a step up from a previous dock that I had as it lets me run multiple monitors (2 in my case: 1x 27"" and 1x 24"") at 4K resolution.  A prior poster mentioned he had to run his monitors at refresh rate of 30hz, and while I was able to run one at 30 and one at 60, I was noticing significant lag and delays with the mouse (wired, wireless, or touchpad didn't matter) that only happened when connected to the dock.  Dropping the one monitor from 60hz to 30hz solved the issue.  This dock has otherwise been great, making it very easy to connect and disconnect my laptop.  I only wish it had a few more USB 3.0 ports, as I still have quite of few of those devices vs USB C.",0.4482753872871399,0.0,0.0,0.0,0.0
"Unfortunately the screen protector has a significant amount of glare present in bright environments, making it really hard to use in an office environment or when outside (keep in mind the iPad has anti glare coating on the screen itself, and doesn’t get super bright as to drown out the glare). Additionally, the installation stickers were not nearly sticky enough to be useful, meaning that I had to source the stickers from another screen protector I had.",0.4421054422855377,0.0,0.0,0.0,0.0
Fit perfectly and easy install,0.4479553997516632,0.0,0.0,0.0,0.0
"Overall, this product is as advertised and mine arrived with no defects. I love having a wide variety of ports as well as enough of each to plug in everything I need to.  However it is not able to support high refresh rates despite having the correct ports which is why it only gets 4/5 stars. My display is a 165hz UHD gaming monitor and I only get 60hz when plugged into the docking station so I have to plug the monitor in directly to the laptop. Minor inconvenience but something to note. In addition, power delivery is too weak for my primary laptop (Dell 5550) but enough for my work laptop (Lenovo ThinkPad T14). It does the trick for an affordable dock especially considering most alternatives cost more than double. If you really need better power delivery and high refresh rates for gaming, you may want to consider a more expensive option. If you're looking for an affordable option to keep cables organized and avoid plugging and unplugging a bunch of cables, this may be a good option.",0.4504256546497345,0.0,0.5,0.0,0.0
"I am not a fan of adding connection points for audio, but these fit really well.  The plating appears durable and both ends have great post engagement.",0.4454817771911621,0.0,0.0,1.0,0.0
Picture quality is great. Easy to hook up. Customer support is great,0.44727540016174316,0.0,0.0,1.0,0.0
Very useful and good quality.,0.4442409873008728,0.0,0.0,1.0,0.0
"Maybe I received the only two defective units?  I spoke with CS and they told me to return the 1st defective unit....no big deal.  I returned the unit and simultaneously ordered another one.  I think they sent me the exact same unit?  Same issues.  It doesn't turn off (light does not turn off), and it doesn't play mp3s, none.  No music.  I wanted to like this product and the previous reviews seemed genuine.  But those reviews make me wonder a bit.  Does this product even work at all?  I wouldn't know.  All I can say is I'm a good buyer of products sold on Amazon and never leave negative reviews.  I'm for small business but this is a little ridiculous.",0.44993770122528076,0.0,0.0,0.0,0.0
My daughter loves her desk fan. She also likes the low fan noise to help her sleep.,0.44311630725860596,0.0,0.0,0.0,0.0
Elcellant,0.44727617502212524,0.0,0.0,0.0,0.0
We put this in our SUV and it has captured some pretty cool videos of things on the interstate.  Downloading the videos to the phone takes quite a while which is our only issue with it.,0.452743262052536,0.0,0.0,0.0,0.0
"I bought this case for around $17 here on Amazon for my 17"" laptop. It protects my laptop when I transport it to and from work, and that's all I need it for. No extra pockets or anything special just the main zipper part and a large side pocket with a zipper. I will say my computer is not snug in there and slides around, so I feel this could probably even fit up to a 19'-20"" laptop. So good price, very basic, does what it's supposed to.",0.44685855507850647,0.0,0.5,0.0,0.0
"They seem too small for a regular aux female, because they don't click into place.",0.44865548610687256,0.0,0.0,0.0,0.0
The fans are louder than I'm used to.,0.4465896487236023,0.0,0.0,0.0,0.0
"Love the lightweight and price of this tablet when compared to other branded products. Setup is quick and minimal. It's an Android 12 tablet and I can found and downloaded any apps I want from the Google play store. The tablet has plenty of storage: 4GB RAM, 64GB Storage and it can expand storage up to 1TB with a memory card. Camera works great for pictures, chat and zoom. So far after a couple weeks use I can find nothing wrong with the tablet and now using it for other purposes. Definitely a good alternative for kids's tablets or adults's entertainment.",0.4466747045516968,1.0,1.0,0.0,0.0
Looks cheap. Gimmicky. It’s not as cute as the picture and sound is not better than a phone. Not worth the money.,0.4458278715610504,0.0,-1.0,0.0,0.0
The cord not long like in the pictures posted its terrible service should put the picture same what it send.,0.4517269432544708,0.0,0.0,0.0,0.0
perfect,0.44916969537734985,0.0,0.0,0.0,0.0
"I gave this as a gift so I am not the one using it, but he liked the idea of it. I did see it lit up and it looked great.",0.44563159346580505,0.0,0.0,0.0,0.0
"The adjustment screw snapped completely off with almost no pressure... I was offered a second of the same item and big surprise it was complete junk poorly made, horribly bad optics and adjustment and do yourself a favor don't use the tripod! 😳🤬😯😯🤯",0.44891634583473206,0.0,0.0,0.0,0.0
"Good quality, comes charged, has solar charge, flashlight is bright, radio comes in clear, different ways to charge. Perfect for what we need.",0.4453139305114746,0.0,0.0,1.0,0.0
"Works great, no issues so far in my current build!",0.4467705190181732,1.0,0.0,1.0,0.0
"Having several cherry brown keys in corsair and other keyboards, this product compares poorly. In comparison, tactile is almost non-existant, the keys are much, much louder, worse - there is extra bang sound when the key releases back up (so forget an o-ring fix for the sound). You get *two* loud smack sounds for each keypress.",0.44391217827796936,0.0,0.0,0.0,0.0
"I was initially quite impressed with this, the sound quality was solid and it did what it said on the tin. Now, however, when I boot it up, it'll make the starting up chime followed by two beeps, and then refuses to pair to anything. I've tried charging it to see if it was a battery issue, but even after a full charge it's still having the same error.",0.445557564496994,0.0,0.0,0.5,0.0
"My internal camera went out on my computer, so I needed a Webcam for my zoom presentations. It's working fine so fall. The price was right as well.",0.44668668508529663,0.0,0.5,0.0,0.0
No suena bien.  Y muy bajo volumen quizás problema. Defecto mal hecho,0.43932485580444336,0.0,0.0,0.0,0.0
"Bought this for my bf and he loves it, it’s a good size to travel on him and great quality. Comes with a nice traveling case.",0.4425855875015259,0.0,0.0,1.0,0.0
like every thing,0.4481782019138336,0.0,0.0,0.0,0.0
Works well,0.44740864634513855,0.5,0.0,0.0,0.0
"I purchase this because my neighbors complained about hearing to loud my tv, so I order this one but on the right-side you can hear it perfect, but on the left side there was a buss loud enough to not let you hear the sound clear, so I spoke with the shipper, and they guide me thru some steps to see if we could correct the problem but it didn't correct it so they issue me a credit.",0.4495849013328552,0.0,0.0,0.0,0.0
They work so good! I worked in a car wash and I could hear the music perfectly!,0.4499862790107727,0.0,0.0,0.0,0.0
"The motion detection doesn't work well for my subject, hummingbirds, so I'm trying to work with it, and the infrared night vision seems to turn off after 31 minutes which I can't figure out, and it crashes altogether sometimes when dealing with videos recorded; but I'm hoping to work most of it out somehow. Digital zoom is useless as it's always awful, but I don't need it for that. I've got five HD cams that all have optical zoom, so that's no problem.",0.4472692608833313,0.0,0.0,0.0,0.0
Sound great and works great,0.44830963015556335,1.0,0.0,0.0,0.0
Purchased for my 8 year old granddaughter and she loves them!,0.45023593306541443,0.0,0.0,0.0,0.0
If you wish to protect TWO Seagate hard drives from Costco (Model: SRD0VN3 P/N: 2R2APM-505) this case is perfect.,0.4457630515098572,0.0,1.0,0.0,0.0
For what you pay for it does its job. Needs more bass. Sounds tinny to me but is great for my office. I have a micro boze which is amazing and I love it but it cost 300 so don't want to leave that at the office and tired of taking it daily. This is a good little speaker,0.4447987675666809,0.0,0.0,0.0,0.0
No es tan resistente como se anuncia llevo más omenos un mes con el y se rompió.,0.4376929998397827,0.0,0.0,0.0,0.0
"You get a sweet deal for cables. They are better than the usual apple cords, they are far better construction with thicker ends. I bought these for a road trip. With constant use these cables performed to just for the road trip but everyday. In fact I won't use apple cords now I use these. This pack with the various lengths is perfect. To me it always seems no matter what length you buy its never long enough. This pack covers and eliminates that problem entirely. If you need charging cables these are THE ONES!",0.44758158922195435,0.0,0.0,0.0,0.0
Lo mejor en tv,0.44561582803726196,0.0,0.0,0.0,0.0
"I got this Keyboard to replace my old Keyboard.  This one has newer features.  13 short cut buttons.<br />Easy to connect.  You connect to any USB device. I connected to the USB port on my computer.<br />Things I liked<br />It's quiet, you won't bother anyone.<br />Has the extra short cut keys<br />Ease of use<br />What I don't like<br />The shift key sticks occasionaly<br />I'm not liking how close the keys are together.  I have to go back and correct to many letters.<br />Guess i'm old school<br />Overall I do like this Keyboard",0.4466579258441925,0.0,0.0,0.0,0.0
"[[VIDEOID:3538770e2e6c61d4b58b37d3312c843d]] Súper recomendado le dura súper bien la batería y el sonido esta bien  alto,  la verdad quede encantada encargue la primera y me gusto mucho y volví a encargarla para regalarla",0.44207820296287537,0.0,0.0,0.0,0.0
"I used this to recover some Klipsch grills.<br />I have done multiple speaker grills in the past and am fairly good at it. But this stuff, once stretched and secured, it takes very little time before it sags and loses its shape. It took less than 3 days to develop this issue from the time of a tightly stretched installation.<br />Not recommended.",0.44632405042648315,0.0,0.0,0.0,0.0
Perfect for me in every way.  Love it!,0.4485574960708618,0.0,0.0,0.0,0.0
Bought this extender and after about 6 months replaced my router.  Could not reconnect extender to new router.  Called Netgear for assistance.  For a minimum cost of $49 they would help me.  Also when you click on assistance you get directed to a third party service provider that wants you to download a non-Net gear app and wants access to your network.  Beware!,0.4444015622138977,0.0,0.0,0.0,0.0
"We ordered this for our roku, but this doesn't not work on a roku. It only works with a roku TV. I'm sure it's great for that! I just know there are more like me that accidentally bought this for a roku stream stick. So if that's what you're looking for, skip this remote",0.4513821601867676,0.0,0.0,0.0,0.0
"So it worked to block adult websites and TikTok, but my daughter couldn’t have YouTube kids -which we all love and approve- without leaving regular YouTube active, very counter intuitive. Changing the settings with the mandatory app was cumbersome so I would just turn it off to watch the Witcher and so on. Additionally, I never had any modem or router issues until after I installed this little box, a new router didn’t fix the problems so my new modem shows up today because my old modem is fried to jumps from 2.4 to 5G  a couple times a day. In a cordless house that’s a big deal deal when a channel suddenly dumps the channel you’re on.",0.4462558329105377,0.0,0.0,0.0,0.0
Liked the different sizes,0.4485962390899658,0.0,0.0,0.0,0.0
"The Insta360 Link is likely the Best Webcam I’ve ever used. Though I have never used another gimbal-based camera, it is truly a quality webcam with some pretty slick features.  Over the course of the past week or so, I’ve been using the Insta360 Link to record videos, and have video calls through Skype and Zoom. I also wanted to test it as a second camera angle for use during my live stream which I’ll get into as well.<br /><br />Upon unboxing the Link, I plugged it in using the included (maybe 3-foot long) USB-C to USB-C cable and it quickly installed the drivers and I was up and running. Unlike other cameras that I’ve used that had a shorter cable, this one seemed like the perfect length to not only use with a laptop but have enough length when using with a desktop setup located on the floor. Obviously if you needed to put the camera at a longer distance, you could pick up a cable from one of the popular manufacturers here on Amazon.<br /><br />First off, as I mentioned, there are a number of slick features that combine the flexibility of the gimbal-based hardware with the power of the Insta360 software. Besides the things that you would expect in a webcam like auto exposure, auto-white balance, etc, the Link offers a really novel usage of A.I. motion tracking with gesture control to enable or modify certain features.<br /><br />When enabled in the app, hold up your hand and the LED light on the webcam flashes from its normal Green to Blue to indicate that motion tracking is turned on. You can also do this by simply single tapping on the front of the camera base and then tap again to turn it off. I gotta say, this is a nice implementation to toggle the gesture control feature on and off.<br /><br />There are three modes that you can modify in the app including Normal (default), Fast and Slow. During my usage, I pretty much stuck with either Normal or Slow as I think fast could make people on the other side of your video call a little nauseous. If you think you will be moving around at a normal speed, then Normal is perfect. However, if you only plan on making small movements, use the slow setting. The camera did a great job to track and follow me, pretty much without any lag.<br /><br />There are two other gestures that you can use including holding your left hand up in the shape of an L to enable zoom. While holding your hand in that position, either raise or lower the “L” to zoom in or out, respectively. It works pretty well but it worked a little better when I was located 3-4 feet away from the camera vs when I had my laptop on my lap. There is also a whiteboard mode that you can enable by making the “V” gesture with your hand. I tried it and it turned on the mode but since I don’t have a whiteboard, couldn’t really test this feature.<br /><br />There are a few other modes that you can enable in the app including a slight downward angle which is good if you are trying to capture an image of your keyboard or something right in front of the monitor. There is also a true “overhead” view that would be incredibly handy if you had the proper setup to utilize this mode. I definitely have to play with this one more. I believe that Insta360 offers a specific extendable tripod for the camera that can be screwed into the quarter-20 thread on the bottom.<br /><br />Overall, the color and brightness is good and sharp, especially in a properly lit scene. If you are using a ring light or something like the Elgato Key Light, Godox ES45 or the Boling P1 Vlogger, this camera will shine and make you look fantastic. If you are using the camera in a darker environment, you may have to tweak the brightness to your liking. I had to bump it up by 6 or 7 notches in the app to get it where I was happy. Again, in a bright setting, the HDR looked great but it was a bit too dark for my taste when the lights were turned off. I think this is more of a function of HDR vs the way the camera handles it.<br /><br />As I mentioned, I’m also a live streamer, so I wanted to see if it would work with my current setup. I personally use a software called VMix and it did struggle a bit with the video, making it look a little jumpy. I THINK this is more of a problem with VMix since the other 2 or 3 webcam’s I’ve tried also faced the same issue. When I opened up OBS, and added the Link as a camera source, the video was smooth as normal. I’d love to see Insta360 contact VMix to see if some optimization could be done.<br /><br />Final Thoughts: I REALLY like this webcam and think it would make a great addition for anyone that is constantly on conference calls, especially if you tend to move around a bit. Comparing to the video in my Dell XPS 15 laptop and it truly not a fair fight. Exposure, color and the ability to enable motion tracking are all really well done.",0.4495766758918762,0.0,0.0,0.5,0.5
Everyone has tangled up in jammed when trying to use in the machine. Other tapes we had previously are still working fine.,0.4467673897743225,0.5,0.0,0.0,0.0
I did a charge once I received them and tested them out initially for an hour and they worked great.  Used them again this morning after a full charge and got maybe three hours of use before they told me low battery and needed a charge again.<br /><br />They are advertised as going six hours between charges.,0.44066500663757324,0.0,0.0,0.0,0.0
Easily setup both my laptops with this switch so I can alternate between my work and home laptops with the push of a button. Note that this doesn’t act like a network switch and has no ports so you will still need two Ethernet cables if you wish to hardwire instead of using WiFi.,0.4434379041194916,0.0,0.0,0.0,0.0
Sellers must have replaced the battery because it's like new really close the two hours of of this thing right out of the box.  Make sure to do Dell BIOS and Windows updates.  Really thinking of getting another.,0.4465341567993164,0.0,0.0,0.0,0.0
Very nice mouse,0.4466921389102936,0.0,0.0,0.0,0.0
"See picture attached. Each stud is actually a hollowed threaded stud with an allen keyway. Although they seemingly were installed with some kind of loctite paste, they came out easily after removing the nuts I had just installed.<br />And of course having studs hollowed out for the key increases the current resistance of the assembly.<br />Real busbars have either welded or rammed plain studs.",0.4468246400356293,0.0,0.0,0.0,0.0
"it didn't really switch between hdmi. also after i unplugged it, my new tv constantly flickers while using my ps4 now.",0.4418403208255768,0.0,0.0,0.0,0.0
"I think this is a nice tripod.  Lightweight and the four-sectioned legs allow it to fold up smaller than the typical three-sectioned legs.<br /><br />My biggest complaint is that it does NOT fit into the carry bag that it came with.  The only way I could get it to fit was to remove the head unit.  I won't be doing that ever time I need to carry it somewhere.<br /><br />Another concern is there is no way to contact the seller.  I tried and even contacted Amazon support and they couldn't give me any contact information.<br /><br />I started a return, however, I've found another tripod bag for an older broken tripod that I have and it fits in there nicely.  I like the tripod, just not the bag or the ""customer service"" from the seller.",0.4496874511241913,0.0,0.0,0.0,0.0
"This is a really nice tablet stand. It is lightweight, sturdy, easy to assemble and fits larger tablets. The problem I encountered is that the gooseneck arm is too short. I wanted to be able to read while in my easy chair. But if you place the stand on the side of the chair, the gooseneck arm is so short you would have to sit on a angle to see the screen. Same for when I tried it in bed, I had to look to my left to see the screen. Believe me that is not comfortable for reading. It would be perfect if not for that. If you are going to use it and position it straight in front of you, it would be terrific. I ended up returning it.",0.450827956199646,0.0,0.0,1.0,0.0
"Amazon basic hall made such a good product. With the affordable price it is a great travel companion. I could fit my DSLR and point and shoot all in this backpack. The top compartment is also great, I use it to put changing cloth. This backpack is all you need for travel.",0.445148229598999,0.0,1.0,0.0,0.0
Like the random pictures. Always a memory.,0.4457502067089081,0.0,0.0,0.0,0.0
Sent it back.  Tried to install on two different HP Laptops running Windows 11.  Neither would recognize the device.  I tried unsuccessfully to manually install the drivers.  Sat on hold for phone support and for chat but could never reach anyone in Tech Support.,0.4445538818836212,0.0,0.0,0.0,0.0
"Easy to install, and very cute for my airtags!",0.44443652033805847,0.0,0.0,0.0,0.0
Easy to install. the adhesive is ridiculously strong. Have had no issues as of yet.,0.4436768889427185,0.0,0.0,0.0,0.0
My son's love these and they were affordable,0.44606277346611023,0.0,0.0,0.0,0.0
Super convenient. Love not having to set Bluetooth up every time I get into my car. Super easy to set up and connects right away on its own!,0.44563406705856323,0.0,0.0,0.0,0.0
Just put a three on the sleep mode as I do not use that function. Hasn’t been the most intutive to figure that out. The rest is great. It is an affordable case that is well-built to my standards so far. The iPad goes in and out relatively easily. I do have to make sure I don’t have long nails or I wouldn’t be able to pop the iPad out quickly to use it on my desk and floorstand that I like to switch to. I love that holds the iPad pen really well and I use it to keep that pen safe. Functions really great to store the pen and the pen cap.,0.4474047124385834,0.0,0.0,0.0,0.0
So far it’s great to protect my littles tablets!,0.44360876083374023,0.0,0.0,0.0,0.0
I bought 4 of these cameras and I love them! They hold a great solar charge even in the winter! You can speak and hear clearly through them. Easy set up too! I had one camera at the back of my house that was acting funny and not holding a charge so I took it down easily and brought it inside to charge. Well the charge port came loose. I contacted customer service (4 months later) and they are sending me a new camera with no hassle. I highly recommend buying these great little cameras. I have recommended them to friends and family and they also have bought them and love them. Nothing bad to say about the cameras or the company. A+++++++++,0.4487876892089844,0.0,0.0,0.0,0.0
Installed in my old 1997 ford F150 Lariat SuperCab 4.6L 4x4 . So far the only down side is the color settings need work.,0.4454350471496582,0.0,0.0,0.0,0.0
I love using Alexa in my smart devices and this upgrade from the echo dot 3 is superb. The sound quality is much superior than prior versions and the scrolling display is excellent. My only complaint is the adaptive display doesn't work and have to turn it on and off to brighten or dim.,0.445526123046875,0.0,0.0,1.0,0.0
"This solar panel is easy to install, and extends the battery life. I normally charge the battery once a month, now I've been with the solar panel for more than a month and it still has 43%. My house has a full size shade so the panel can't get directly sunlight for most of the time. I guess it'll have better performance if you are able to put it directly under the sun.",0.4456847012042999,0.0,0.0,0.0,0.0
Easy to install uses a sata cable to connect that to your psu and connect the sata cable to the power suppply for the fans and screw the fans in should be easy,0.45241138339042664,0.0,0.0,0.0,0.0
The battery was defective. I had to pay for the product to be returned for $5.60.,0.44518229365348816,0.0,0.0,0.0,0.0
I use this product to listen to ASMR to help me fall asleep at night. I love it!,0.44044455885887146,0.0,0.0,0.0,0.0
[[VIDEOID:cab767abcbd02ec5e22462a9d897c8bd]] And all this product was completely worth the money. Very good quality video. So easy to use my 10-year-old was able to set it up for me.,0.4462992250919342,0.0,1.0,1.0,0.0
[[VIDEOID:af88a379b1643d840220710eb64fc60c]] This is a combo wireless mouse and keyboard in a baby blue color with white. This keyboard is not backlight. The keys are great and feel solid. Connectivity is great for both mouse and keyboard. Very happy!,0.4461861550807953,0.0,0.0,0.0,0.0
No more glare. You can use it outside or in the car. Easy on the eyes and easy to see.,0.44512805342674255,0.0,0.0,0.0,0.0
Purchased for a DIY marauder project and it's doing what it's supposed to. No issues so far. Cheaper than a pi counterpart and lots of support out there.,0.4489235281944275,0.0,1.0,0.0,0.0
like,0.45130428671836853,0.0,0.0,0.0,0.0
It had I had to cut a hole because there was no hole for the chargerbut other then that we love it,0.44763079285621643,0.0,0.0,0.0,0.0
"Could not get this device to sync with any other device. After much trouble shooting, read 1 star reviews and they all had the same issue. I have an iPad mini. Be cautious with this.",0.4452473819255829,0.0,0.0,0.0,0.0
fits great,0.4446619153022766,0.0,0.0,0.0,0.0
Reasonable price for a perfect earbud,0.44879603385925293,0.0,1.0,0.0,0.0
"This item is not as described/pictured. The box contains only the flexible frame that fits around the GoPro. The buckle and thumbscrew, as shown in the picture and mentioned in the description, are not included. Without these other missing parts, the frame is completely useless. Photo shows all that was in the box. Returning for refund.",0.450128436088562,0.0,0.0,0.0,0.0
"Excelente producto, el pedido llego sellado y en buen estado. La utilidad es muy buena, mi celular carga mucho mas rápido en comparación a mi cargador anterior. Recomiendo este producto, muy funcional y a buen costo.",0.43667522072792053,0.0,1.0,0.0,0.0
"With a little bit of fabricating, these boxes are perfect for panniers.<br />Waterproof,heavy-duty, plenty of storage for a few days.<br />Exactly what I was looking for and cheaper than those water bird boxes.",0.44859641790390015,0.0,1.0,0.0,0.0
"I searched high and low for this desktop computer. I first saw a similar pc on Woot, but unfortunately, it was a disaster, the unit came missing accessories and worse damage. The worst part of the experience was the seller has the monopoly of Lenovo refurbs on Woot, Amazon, Tanga and ebay. So, when I saw Tekrefurbs, a small family outfit, I was delighted and thus, they did not disappoint. The best part of the purchase, free shipping and a lesser price than elsewhere. It is a refurb so I do expect scratches and dents, not a problem. Furthermore, it was a breeze to set up and as a work from home person, I was able to purchase a gadget to attach two monitors. The version of windows 10  installed is the most current version so  old Logitech wireless mouse and keyboard may not be compatible with the windows 10 software installed. Moreover, the unit is lightening fast in accessing files and browsing the internet. Luckily, the desktop unit came with a wired mouse and keyboard. To be honest, I was surprised to find that wired mouse and keyboard are still around in this day and age. Suffice it to say, they both serve my needs. So if you are living on a work from home budget, then this desktop is for you. I do recommend Lenovo units, this is my second unit purchased and as soon as disposable funds become available I will be purchasing one of the i7 units for my personal use.<br />PS. The unit was shipped without the additional storage (1T) but I called up the company and they promptly shipped an external hard drive to my and I received it the next day. I am very satisfied with the product and the service that came along with it.",0.44891655445098877,0.5,1.0,0.0,0.0
Much needed,0.44782987236976624,0.0,0.0,0.0,0.0
It’s a power strip. It works,0.44920992851257324,0.5,0.0,0.0,0.0
"2 cameras have failed, returning product to amazon. The Isotect company has closed and there is no customer support from them, nor can you order any more cameras when one fails. I have had 8 cameras fail out of the 12 that came with my 2 isotect systems. Now they are worthless as they keep failing.",0.4468783736228943,0.0,-1.0,0.0,0.0
"Bought two sets of these, one for my computer and one for the wife's. Easy to install. Looks great. They really help to get that personalized look for your setup.",0.4454292953014374,0.0,0.0,0.0,0.0
Awesome for traveling! I was able to add so many things in there. Best product!,0.4461328983306885,0.0,0.0,0.0,0.0
For the money it’s great & easy,0.4449438154697418,0.0,1.0,0.0,0.0
I was especially happy that the controller has volume and pause.  It works great for the small TV that is in the guest bedroom,0.447333961725235,0.5,0.0,0.0,0.0
I was looking for a thinner case so my iPad could still sit in an adjustable stand.  This one works really well! Had to insert the bumpers in the corners but you get to choose the color. Thin and light but still seems to provide enough protection. My stylus pen also fits in the slot.,0.44859957695007324,0.5,0.0,0.0,0.0
"While the glass itself is nice and easy to install, it is noticeably too short on my X-T5.",0.44703489542007446,0.0,0.0,0.0,0.0
